"","x"
"1",2.99296613649869
"2",2.99296576994418
"3",2.99296544959036
"4",2.99296300340402
"5",2.99295850741496
"6",2.99296103148647
"7",2.99296631917146
"8",2.99297010011397
"9",2.99297072620747
"10",2.99296347534739
"11",2.99296272386761
"12",2.99296980733702
"13",2.99295777337875
"14",2.99296022587023
"15",2.99296309366126
"16",2.99296593920277
"17",2.99327298599627
"18",2.99411113335826
"19",2.99476972361297
"20",2.99488611901973
"21",2.99500479382874
"22",2.99504457171061
"23",2.99512551889439
"24",2.9951947921731
"25",2.99519025468639
"26",2.9951968709956
"27",2.99523891178404
"28",2.995238158012
"29",2.99528347369225
"30",2.99533496534527
"31",2.99536712263964
"32",2.99535619427824
"33",2.99537791751591
"34",2.99542505132756
"35",2.99543964379269
"36",2.99543503931251
"37",2.99542981758462
"38",2.99544084324836
"39",2.99544575049271
"40",2.99546376873732
"41",2.99548365469621
"42",2.99547769577681
"43",2.99547665024794
"44",2.99548650809691
"45",2.99551324819004
"46",2.99553459537794
"47",2.99553339148742
"48",2.99554219010308
"49",2.99554527814161
"50",2.99554343075622
"51",2.99555124920344
"52",2.99553919678397
"53",2.99554633248664
"54",2.99555491393594
"55",2.99555353105373
"56",2.99555295245877
"57",2.99555284481587
"58",2.99555811055769
"59",2.99553925731269
"60",2.99553663746734
"61",2.99553784491732
"62",2.99554373841145
"63",2.99553021930716
"64",2.99556951319727
"65",2.99558075723779
"66",2.9955874453358
"67",2.99559390691529
"68",2.99558392021904
"69",2.99559868480331
"70",2.99559345600908
"71",2.99560189288334
"72",2.99558805357894
"73",2.9956002449474
"74",2.99558401397764
"75",2.99557811904508
"76",2.99555125420798
"77",2.99555074386261
"78",2.99555128168873
"79",2.99555234502678
"80",2.99555068574957
"81",2.9955546979997
"82",2.99553165208183
"83",2.9955313613251
"84",2.99551666175588
"85",2.99551984144154
"86",2.99551797361144
"87",2.99551836097205
"88",2.99552660235835
"89",2.99552188884157
"90",2.99552623125916
"91",2.99549221389948
"92",2.99548044429701
"93",2.99549022576532
"94",2.99548923848588
"95",2.99548953194234
"96",2.99546392373823
"97",2.99545229537153
"98",2.99544549743534
"99",2.99544563396222
"100",2.99542809222097
"101",2.99550843229701
"102",2.99572792713963
"103",2.99628186328853
"104",2.99658551504506
"105",2.99666548249583
"106",2.99673445126077
"107",2.99676923766612
"108",2.99678817921425
"109",2.99677355947735
"110",2.99683135030082
"111",2.99681166039295
"112",2.99684170805962
"113",2.99686061879231
"114",2.99686431099351
"115",2.99683349652983
"116",2.99679027517614
"117",2.9967640566427
"118",2.99676764397241
"119",2.99665612174354
"120",2.99663493911569
"121",2.99660700386235
"122",2.99658035559338
"123",2.99654485886022
"124",2.99649904318896
"125",2.99650301338366
"126",2.99646513331595
"127",2.99636473594579
"128",2.99636608260689
"129",2.99633120354917
"130",2.99622485776768
"131",2.99616865301701
